"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.428262052038735,0.0710082873221706
"2","GBLUP","COR",0.3,0.42554329980073,0.0652043513381287
"3","GBLUP","COR",0.5,0.418310966518943,0.0570438208881139
"4","GBLUP","COR",0.75,0.402278009936576,0.0588267532684517
"5","GBLUP","COR",0.8,0.38292353607956,0.0661179925242471
"6","GBLUP","NRMSE",0.15,0.0489952294601849,0.00335502945551652
"7","GBLUP","NRMSE",0.3,0.0494826121559842,0.00320927019918786
"8","GBLUP","NRMSE",0.5,0.0498690101783292,0.00285179448888596
"9","GBLUP","NRMSE",0.75,0.0503264070008881,0.00269653087729927
"10","GBLUP","NRMSE",0.8,0.0508704755367701,0.00268847879780625
"11","GBLUP","PM_10",0.15,26.9886363636364,10.7631316204831
"12","GBLUP","PM_10",0.3,27.3141654978962,9.98799945997584
"13","GBLUP","PM_10",0.5,27.5368134731831,8.69280756812625
"14","GBLUP","PM_10",0.75,26.9780584703789,7.91183012517548
"15","GBLUP","PM_10",0.8,26.2444005332297,7.43646013634501
"16","GBLUP","PM_20",0.15,39.8369565217391,7.25474073097238
"17","GBLUP","PM_20",0.3,39.6914446002805,6.8971035075053
"18","GBLUP","PM_20",0.5,39.1543566298125,6.24328905340803
"19","GBLUP","PM_20",0.75,38.2393954363413,5.90123966465977
"20","GBLUP","PM_20",0.8,37.243720768371,5.73086493578936
"21","Transfer","COR",0.15,0.58317963336889,0.0558130529381629
"22","Transfer","COR",0.3,0.575797557374659,0.0519495395851875
"23","Transfer","COR",0.5,0.572204745421002,0.0445984548246896
"24","Transfer","COR",0.75,0.565598170327414,0.0418407001983755
"25","Transfer","COR",0.8,0.558027793331849,0.0413754746747069
"26","Transfer","NRMSE",0.15,0.04432963329107,0.00302115760104757
"27","Transfer","NRMSE",0.3,0.0450392617748507,0.00287192715668819
"28","Transfer","NRMSE",0.5,0.0453715900400943,0.00255588093865567
"29","Transfer","NRMSE",0.75,0.0456790040083198,0.00236778656630105
"30","Transfer","NRMSE",0.8,0.0460446629178541,0.00226930776744933
"31","Transfer","PM_10",0.15,33.125,10.1834770683503
"32","Transfer","PM_10",0.3,33.5171490501084,9.77850414366085
"33","Transfer","PM_10",0.5,34.2684168025572,8.86275905365058
"34","Transfer","PM_10",0.75,34.114211126417,7.92230892850166
"35","Transfer","PM_10",0.8,33.9287554223625,7.24496759169908
"36","Transfer","PM_20",0.15,47.5271739130435,7.61416317826032
"37","Transfer","PM_20",0.3,46.8863955119214,6.9760826355141
"38","Transfer","PM_20",0.5,46.6773070314445,6.06936777782245
"39","Transfer","PM_20",0.75,46.3198454187234,5.52310260178563
"40","Transfer","PM_20",0.8,45.8776667629603,5.14815869383904
