"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.341569522767256,0.10509936709316
"2","GBLUP","COR",0.3,0.347964418381093,0.0947723580429045
"3","GBLUP","COR",0.5,0.357184575941932,0.0830584941239914
"4","GBLUP","COR",0.75,0.356625867227662,0.0742954679815986
"5","GBLUP","COR",0.8,0.352527355214107,0.0689021874647616
"6","GBLUP","NRMSE",0.15,0.363263305441925,0.0350964952630178
"7","GBLUP","NRMSE",0.3,0.362333446389507,0.0328548457683745
"8","GBLUP","NRMSE",0.5,0.360747378269575,0.0285656587496872
"9","GBLUP","NRMSE",0.75,0.3625810885094,0.0255587479208496
"10","GBLUP","NRMSE",0.8,0.364923568832698,0.0233640044653915
"11","GBLUP","PM_10",0.15,16.4583333333333,15.3505661578718
"12","GBLUP","PM_10",0.3,18.2548309178744,14.6103929114678
"13","GBLUP","PM_10",0.5,20.5660225442834,13.2763171777892
"14","GBLUP","PM_10",0.75,21.4798624238605,11.9909553120096
"15","GBLUP","PM_10",0.8,22.0189582020584,11.0540862019984
"16","GBLUP","PM_20",0.15,34.2592592592593,11.7633684611042
"17","GBLUP","PM_20",0.3,35.5034324942792,10.9553315627505
"18","GBLUP","PM_20",0.5,36.9431389756923,9.70879207623757
"19","GBLUP","PM_20",0.75,37.4216150141966,8.74085821112191
"20","GBLUP","PM_20",0.8,37.7544911627219,7.96662926941264
"21","Transfer","COR",0.15,0.385688253036898,0.107296659005247
"22","Transfer","COR",0.3,0.390966086055027,0.0956411177518621
"23","Transfer","COR",0.5,0.397417446986695,0.0823869144490383
"24","Transfer","COR",0.75,0.397222588143754,0.0731178603069699
"25","Transfer","COR",0.8,0.394539224590588,0.0680429073108319
"26","Transfer","NRMSE",0.15,0.354709889157854,0.0344727534783184
"27","Transfer","NRMSE",0.3,0.3539733414517,0.0319989563059501
"28","Transfer","NRMSE",0.5,0.35275735682824,0.0274954414083686
"29","Transfer","NRMSE",0.75,0.354210988263707,0.02453129172882
"30","Transfer","NRMSE",0.8,0.356153420183992,0.0224341406561479
"31","Transfer","PM_10",0.15,21.875,19.1381334085756
"32","Transfer","PM_10",0.3,23.3997584541063,17.6229177203162
"33","Transfer","PM_10",0.5,25.3329307568438,15.176910419013
"34","Transfer","PM_10",0.75,26.226606805293,13.4845450732968
"35","Transfer","PM_10",0.8,26.7756406217181,12.4702235717123
"36","Transfer","PM_20",0.15,38.5185185185185,13.5481382041289
"37","Transfer","PM_20",0.3,39.0668700737351,12.1561852179548
"38","Transfer","PM_20",0.5,39.8459820269077,10.2718970025638
"39","Transfer","PM_20",0.75,40.2477386174962,9.04069340952087
"40","Transfer","PM_20",0.8,40.4602546805301,8.25738479355847
