"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","Groundnut",0.15,"NPP","ICRISAT_PR15-16","ALIYARNAGAR_R15",0.389110059119917,0.165322562768522,0.400451500722002,0.16446226322399,24.1066500963983,3.50818102754305,23.8912259809571,3.37392342607355,0.333723511730198,0.0262618034515538,0.332237477879988,0.0253812160602181,17.5,16.8737139427638,25,20.4124145231932,36.6666666666667,12.8833534303156,41.1111111111111,16.6048235344147,47.1428571428571,12.6884881852136,49.2857142857143,13.235182961607
"2","Groundnut",0.15,"PYPP","ICRISAT_PR15-16","ALIYARNAGAR_R15",0.326864200175037,0.0673963904325882,0.334432140789088,0.0744561216277351,15.0734307831925,4.25826459409,15.0532012025073,4.26722381551851,0.347251755560745,0.0474665014522811,0.347006811845423,0.0471706530523603,12.5,13.1761569173682,27.5,18.4466196843155,32.2222222222222,12.227832606829,33.3333333333333,10.4756560175785,45.7142857142857,9.03507902905251,47.1428571428571,10.7538950387012
"3","Groundnut",0.15,"SYPP","ICRISAT_PR15-16","ALIYARNAGAR_R15",0.313870427977678,0.0880594175915352,0.336252487744231,0.108808645491457,5.72843340484124,1.58550225088798,5.64395143068852,1.48630500321318,0.35427114836212,0.0437461117809154,0.352052866591142,0.0409717352857864,15,17.4801474695025,27.5,18.4466196843155,28.8888888888889,10.7343531453255,31.1111111111111,10.2104064830298,40,9.03507902905251,42.8571428571429,8.90870806374748
"4","Groundnut",0.15,"YPH","ICRISAT_PR15-16","ALIYARNAGAR_R15",0.484073987417038,0.112372646997901,0.49537660269358,0.0935856880774994,365745.05707167,62619.4272889922,362980.503928797,69322.1494627012,0.432061577196813,0.0363699167751339,0.429523195067062,0.0312295428351088,27.5,24.8607231502938,22.5,24.8607231502938,44.4444444444444,10.4756560175785,46.6666666666667,13.6585843811746,57.1428571428571,11.1676565710082,59.2857142857143,11.6885121034606
"5","Groundnut",0.15,"NPP","ICRISAT_R15","ALIYARNAGAR_R15",0.322392378359742,0.0636907690372525,0.401090481063684,0.0666836288251125,22.5689719015632,6.09027273142647,21.1487797833025,6.20084432834427,0.320007480583455,0.039513746076203,0.309536130869996,0.0429366573654278,20,15.8113883008419,10,21.0818510677892,40,14.0545673785261,41.1111111111111,13.9073950781619,46.4285714285714,6.94160939862536,49.2857142857143,9.78800228147355
"6","Groundnut",0.15,"PYPP","ICRISAT_R15","ALIYARNAGAR_R15",0.284710256079681,0.0822029424190953,0.346628341356142,0.101848359197785,13.5842106781384,4.08385878263726,13.0714474602751,4.42786879419477,0.33831111222304,0.0373678181145028,0.330522618440895,0.0424943546104649,15,12.9099444873581,15,21.0818510677892,31.1111111111111,13.6585843811746,34.4444444444444,16.932043630611,45.7142857142857,9.6421222530079,48.5714285714286,8.10923160282209
"7","Groundnut",0.15,"SYPP","ICRISAT_R15","ALIYARNAGAR_R15",0.251452594325833,0.0723435988124812,0.331273896701362,0.0846884290559336,5.14007583983721,1.37403088351656,4.89317778982025,1.48186379548463,0.347730427258097,0.032199304867376,0.338190101467298,0.0361949667792699,15,17.4801474695025,15,17.4801474695025,28.8888888888889,13.0420865641919,33.3333333333333,14.8148148148148,42.1428571428571,9.78800228147355,47.1428571428571,8.38419850555191
"8","Groundnut",0.15,"YPH","ICRISAT_R15","ALIYARNAGAR_R15",0.446202385085868,0.10845759204274,0.580237053273886,0.0922763868109702,373945.407854978,65201.9308075148,303082.115858873,68301.1514057505,0.441442822544915,0.0313936375557575,0.396277489882983,0.0369322680978691,20,10.5409255338946,40,12.9099444873581,40,9.36971158568409,52.2222222222222,16.6048235344147,53.5714285714286,13.984928719608,60,13.1276654781812
"9","Groundnut",0.15,"NPP","JALGOAN_R15","ALIYARNAGAR_R15",0.326174044863636,0.120257281942275,0.375795819205791,0.0926642621481921,23.2917387117513,4.07533915668139,22.0755431826687,2.69817441822777,0.325816488708003,0.0245537666979875,0.317990608833639,0.0170474142575678,12.5,13.1761569173682,17.5,16.8737139427638,31.1111111111111,11.4755062109849,33.3333333333333,11.7121394821051,52.1428571428571,6.77630927178939,52.1428571428571,7.56678503908129
"10","Groundnut",0.15,"PYPP","JALGOAN_R15","ALIYARNAGAR_R15",0.251586806283187,0.139004798815581,0.270030407835012,0.152051501533313,14.6289528278797,3.67858416033057,14.3907493676026,3.6101889126412,0.345588102321055,0.0351556798872778,0.34293792643621,0.0361125221269597,10,12.9099444873581,15,24.1522945769824,26.6666666666667,13.0420865641919,32.2222222222222,12.227832606829,41.4285714285714,13.3842564976716,41.4285714285714,11.0656667034498
