"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.435916185499081,0.148358081654942
"2","GBLUP","COR",0.3,0.435621372367035,0.132913330899778
"3","GBLUP","COR",0.5,0.423918855899714,0.112363235776403
"4","GBLUP","COR",0.75,0.410402798712064,0.106183477238967
"5","GBLUP","COR",0.8,0.391855108061062,0.109965231558427
"6","GBLUP","NRMSE",0.15,0.179410652672705,0.0174388650527021
"7","GBLUP","NRMSE",0.3,0.193494734483761,0.0167234084284027
"8","GBLUP","NRMSE",0.5,0.195209603141793,0.0140701825221228
"9","GBLUP","NRMSE",0.75,0.196140630463324,0.0128329004272019
"10","GBLUP","NRMSE",0.8,0.198530950588781,0.0141970574168466
"11","GBLUP","PM_10",0.15,29,18.8684353277595
"12","GBLUP","PM_10",0.3,28.4848484848485,17.7609226882573
"13","GBLUP","PM_10",0.5,28.635101010101,15.466442581033
"14","GBLUP","PM_10",0.75,28.0895412457912,13.8962196046214
"15","GBLUP","PM_10",0.8,27.0369366744367,12.8911014189277
"16","GBLUP","PM_20",0.15,42.5,13.5009161562478
"17","GBLUP","PM_20",0.3,42.5143540669856,12.6148916622455
"18","GBLUP","PM_20",0.5,42.1747408293461,10.7543058845564
"19","GBLUP","PM_20",0.75,41.7668577897666,9.53168843163316
"20","GBLUP","PM_20",0.8,40.9264778924083,8.97779345445701
"21","Transfer","COR",0.15,0.52460182236882,0.125487425875198
"22","Transfer","COR",0.3,0.527499713502593,0.111404765468269
"23","Transfer","COR",0.5,0.522102104772139,0.0934665724244566
"24","Transfer","COR",0.75,0.513091167312454,0.0851662471302492
"25","Transfer","COR",0.8,0.503308513340351,0.0816772957837963
"26","Transfer","NRMSE",0.15,0.175940668916707,0.0168889309540151
"27","Transfer","NRMSE",0.3,0.189548948066009,0.0162054478256488
"28","Transfer","NRMSE",0.5,0.190887788979811,0.0140647672005969
"29","Transfer","NRMSE",0.75,0.191702461943044,0.0131873085183861
"30","Transfer","NRMSE",0.8,0.193225738556096,0.0127760069351152
"31","Transfer","PM_10",0.15,37,17.2508166129218
"32","Transfer","PM_10",0.3,35.8181818181818,15.255086757068
"33","Transfer","PM_10",0.5,35.5820707070707,13.3666711305455
"34","Transfer","PM_10",0.75,35.0537668350168,12.1388409573333
"35","Transfer","PM_10",0.8,34.5218191530692,11.3226380710144
"36","Transfer","PM_20",0.15,48.8333333333333,13.2232454391522
"37","Transfer","PM_20",0.3,48.988038277512,12.1833593095674
"38","Transfer","PM_20",0.5,49.0437599681021,10.5873870417272
"39","Transfer","PM_20",0.75,48.9722220526967,9.37332888242072
"40","Transfer","PM_20",0.8,48.6055668016194,8.62890847577994
