"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","Indica",0.15,"PHR",2011,2010,0.417808973636891,0.162621413415356,0.49614713958167,0.148628992844371,5.40096995013557,1.93379441812914,4.71114156658519,1.62606264228408,0.0377189817849491,0.00666238448510138,0.0352293331184319,0.00619909896775856,36,15.7762127549323,44,22.7058484879019,38,10.3279555898864,43,13.3749350984926,43.3333333333333,6.478835438717,46.6666666666667,7.02728368926307
"2","Indica",0.15,"GC",2011,2010,0.307601673290132,0.141243205821772,0.3662607750802,0.130763924215762,2.58258156495901,0.57983498974537,2.49016301710423,0.480277553500078,0.473162416537499,0.0386632615097719,0.465887361593062,0.0294904622133145,22,17.5119007154183,24,12.6491106406735,34,15.0554530541816,40,14.9071198499986,48.6666666666667,9.96289412064884,56,10.0369687027877
"3","Indica",0.15,"PH",2011,2010,0.546689189901484,0.172944990484632,0.704106886851411,0.0959253696066246,7.58595400705869,2.98975051929276,5.24758761285998,1.64126338195553,0.0404685467368918,0.00793685863649995,0.0338671501458818,0.00523262994887467,32,21.4993539954628,46,21.1869981094276,51,14.4913767461894,63,14.1813649241218,60.6666666666667,7.98145999825243,71.3333333333333,10.4468082431495
"4","Indica",0.15,"PHR",2012,2010,0.488150115743109,0.138900494324684,0.553262861366221,0.165528827459838,4.2894669370447,0.881890600184006,3.89167827438659,0.897139188110467,0.0339070652937727,0.00350050281536947,0.0322438098408005,0.00379606196208138,34,21.1869981094276,32,19.3218356615859,46,13.4989711542111,47,14.9443411809733,47.3333333333333,9.13546879604199,50,9.55813918560292
"5","Indica",0.15,"GC",2012,2010,0.324485878999922,0.157125432117776,0.333744905802042,0.126715113158897,2.58041185215743,0.746752967584178,2.63529959632982,0.813186414289088,0.448499818580902,0.0430196634628843,0.452493721778247,0.0516474823289792,30,14.142135623731,26,13.4989711542111,36,14.2984070596848,34,13.4989711542111,49.3333333333333,7.82525193851512,51.3333333333333,7.73001205818937
"6","Indica",0.15,"PH",2012,2010,0.53076128142295,0.117312953765431,0.694088365531379,0.0853623279656946,8.26748885800871,1.91771253513066,5.88340147909686,1.6317195029898,0.0427070871022161,0.00485051940658583,0.0359226370238167,0.00496785030308229,20,23.094010767585,50,14.142135623731,50,13.3333333333333,66,8.43274042711568,66,8.57789291805279,74,9.66091783079296
"7","Indica",0.3,"GC",2011,2010,0.307601673290132,0.141243205821772,0.3662607750802,0.130763924215762,2.58258156495901,0.57983498974537,2.49016301710423,0.480277553500078,0.473162416537499,0.0386632615097719,0.465887361593062,0.0294904622133145,22,17.5119007154183,24,12.6491106406735,34,15.0554530541816,40,14.9071198499986,48.6666666666667,9.96289412064884,56,10.0369687027877
"8","Indica",0.3,"GC",2012,2010,0.324485878999922,0.157125432117776,0.333744905802042,0.126715113158897,2.58041185215743,0.746752967584178,2.63529959632982,0.813186414289088,0.448499818580902,0.0430196634628843,0.452493721778247,0.0516474823289792,30,14.142135623731,26,13.4989711542111,36,14.2984070596848,34,13.4989711542111,49.3333333333333,7.82525193851512,51.3333333333333,7.73001205818937
"9","Indica",0.3,"PH",2011,2010,0.546689189901484,0.172944990484632,0.704106886851411,0.0959253696066246,7.58595400705869,2.98975051929276,5.24758761285998,1.64126338195553,0.0404685467368918,0.00793685863649995,0.0338671501458818,0.00523262994887467,32,21.4993539954628,46,21.1869981094276,51,14.4913767461894,63,14.1813649241218,60.6666666666667,7.98145999825243,71.3333333333333,10.4468082431495
"10","Indica",0.3,"PH",2012,2010,0.53076128142295,0.117312953765431,0.694088365531379,0.0853623279656946,8.26748885800871,1.91771253513066,5.88340147909686,1.6317195029898,0.0427070871022161,0.00485051940658583,0.0359226370238167,0.00496785030308229,20,23.094010767585,50,14.142135623731,50,13.3333333333333,66,8.43274042711568,66,8.57789291805279,74,9.66091783079296
