"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Indica",0.15,"PHR","2011","2010",1,0.500345179385538,0.555940248728737,3.97930105175904,3.30709280103641,0.0327756618342657,0.0298793580614085,40,40,30,50,40,53.3333333333333
"2","Indica",0.15,"PHR","2011","2010",2,0.281156334710372,0.41709388689238,6.49957991712488,5.68590265192531,0.0421470978170396,0.0394207371426099,60,60,30,40,40,46.6666666666667
"3","Indica",0.15,"PHR","2011","2010",3,0.31786635637982,0.436412769318109,7.26494468572407,6.40559779864275,0.0442726356588153,0.0415718215613003,40,80,30,40,53.3333333333333,60
"4","Indica",0.15,"PHR","2011","2010",4,0.200893299736016,0.24697861805226,6.6465463734032,6.07062287889393,0.0423416321229088,0.0404656203010768,40,40,40,30,53.3333333333333,40
"5","Indica",0.15,"PHR","2011","2010",5,0.152644438266038,0.368407562538276,9.26339191004547,7.47929226082405,0.0500947237172194,0.0450129233106268,40,40,50,50,40,40
"6","Indica",0.15,"PHR","2011","2010",6,0.567105801302981,0.63478136943501,3.08134991421842,2.42022628993724,0.0286655601557265,0.0254049246029364,40,60,50,50,40,53.3333333333333
"7","Indica",0.15,"PHR","2011","2010",7,0.582457758127007,0.727421227392571,4.84355881029516,3.59585543280837,0.0364199241733907,0.0313803555630962,40,60,50,60,33.3333333333333,46.6666666666667
"8","Indica",0.15,"PHR","2011","2010",8,0.545604645786354,0.601505337948573,4.3168042338719,3.83562258743272,0.034141143201155,0.0321821323045151,40,20,40,30,46.6666666666667,40
"9","Indica",0.15,"PHR","2011","2010",9,0.531536656900495,0.593761587002413,4.00649613402457,3.60006719220675,0.0330138977166613,0.0312946241994784,20,40,40,60,46.6666666666667,46.6666666666667
"10","Indica",0.15,"PHR","2011","2010",10,0.49847926577429,0.379168788508374,4.10772647088902,4.71113577214435,0.0333175414523085,0.0356808341372707,0,0,20,20,40,40
"11","Indica",0.15,"GC","2011","2010",1,0.343463274328838,0.422714833920861,2.55835191268254,2.41866565857011,0.450064686624554,0.437605443568215,20,40,30,40,46.6666666666667,53.3333333333333
"12","Indica",0.15,"GC","2011","2010",2,0.279258070301173,0.244990931522363,2.58815373585276,2.65113549048852,0.496648612745881,0.502655169819346,20,0,40,30,60,60
"13","Indica",0.15,"GC","2011","2010",3,0.307408358299672,0.31265898737605,2.23212808653466,2.2264704698434,0.467530407146382,0.466937523146937,20,20,50,60,53.3333333333333,60
"14","Indica",0.15,"GC","2011","2010",4,0.311235275346164,0.431539617498041,2.3744700173095,2.1629265273888,0.475332081577544,0.453664363470263,40,40,50,60,46.6666666666667,53.3333333333333
"15","Indica",0.15,"GC","2011","2010",5,0.279788976647233,0.282205831159266,3.16210066513514,3.18330071013799,0.493426357311028,0.49507766248043,20,20,30,20,40,40
"16","Indica",0.15,"GC","2011","2010",6,0.23606352398115,0.391702704624021,2.35504094646356,2.16763433455845,0.501298236797363,0.480938956297567,0,20,30,40,46.6666666666667,46.6666666666667
"17","Indica",0.15,"GC","2011","2010",7,0.0612337262684464,0.144806553730321,2.84458116804234,2.67935032507596,0.473984525983223,0.460012622891256,20,20,10,20,33.3333333333333,46.6666666666667
"18","Indica",0.15,"GC","2011","2010",8,0.221230444179264,0.324547161751303,3.68369424294671,3.35763667936759,0.529530874825976,0.505552601732924,0,20,10,30,40,66.6666666666667
"19","Indica",0.15,"GC","2011","2010",9,0.603957274968831,0.547085362653588,1.49256719844468,1.84419410387349,0.385182571969523,0.428156948777703,20,20,50,50,66.6666666666667,73.3333333333333
"20","Indica",0.15,"GC","2011","2010",10,0.432377808580548,0.560355766566184,2.53472767617823,2.21031587173803,0.45862581039352,0.428272323745976,60,40,40,50,53.3333333333333,60
"21","Indica",0.15,"PH","2011","2010",1,0.654118521056959,0.755793450463495,4.99702593526464,3.77937199057213,0.0333930394481895,0.0290408931441443,40,60,50,60,66.6666666666667,73.3333333333333
"22","Indica",0.15,"PH","2011","2010",2,0.731370455516191,0.795956920919886,5.31974381513581,4.19115827709082,0.0343501553664704,0.0304895052798703,40,60,70,90,73.3333333333333,66.6666666666667
"23","Indica",0.15,"PH","2011","2010",3,0.588577501751724,0.728009302703522,8.65524067864262,6.3944801792032,0.0433973019012349,0.0373014554489308,40,40,70,70,66.6666666666667,86.6666666666667
"24","Indica",0.15,"PH","2011","2010",4,0.606346410692723,0.674559887416591,4.602994750784,4.28345169986775,0.0322539725194172,0.0311142909768846,60,60,40,50,60,86.6666666666667
"25","Indica",0.15,"PH","2011","2010",5,0.257021134485581,0.546802073147368,13.2787333958921,8.6702289487828,0.054766252122651,0.0442537398583534,0,20,30,40,46.6666666666667,60
"26","Indica",0.15,"PH","2011","2010",6,0.572453830317207,0.7375842227961,7.46422600234682,4.95596137296537,0.0405261669599481,0.0330222830355242,20,60,50,60,60,73.3333333333333
"27","Indica",0.15,"PH","2011","2010",7,0.669396063267651,0.815160975099463,7.38415177568694,4.53975949050643,0.0403659190315882,0.0316505280433336,20,40,60,80,66.6666666666667,73.3333333333333
"28","Indica",0.15,"PH","2011","2010",8,0.245757837324465,0.56147536323081,11.5821600754731,6.49321632647623,0.051292892746551,0.0384054047991845,0,0,30,60,53.3333333333333,66.6666666666667
"29","Indica",0.15,"PH","2011","2010",9,0.45502625623926,0.636813486821293,8.12659531200122,5.99738070425162,0.042648118640951,0.0366375454355522,40,60,50,60,53.3333333333333,53.3333333333333
"30","Indica",0.15,"PH","2011","2010",10,0.686823888363081,0.788913185915587,4.44866832935962,3.1708671388834,0.0316916486319172,0.0267558554370399,60,60,60,60,60,73.3333333333333
"31","Indica",0.15,"PHR","2012","2010",1,0.559227240342588,0.601026535530291,5.56350525269149,5.42501507768301,0.039005728490716,0.0385171918701494,20,20,40,30,53.3333333333333,53.3333333333333
"32","Indica",0.15,"PHR","2012","2010",2,0.703339294178938,0.797344574185236,3.40525440177554,2.35974036902978,0.0304163592526704,0.025320049985352,20,20,50,60,46.6666666666667,60
"33","Indica",0.15,"PHR","2012","2010",3,0.541965785362035,0.621751886959729,3.89874498970008,3.41399650398855,0.0325199999384371,0.030431240569206,40,40,60,60,46.6666666666667,53.3333333333333
"34","Indica",0.15,"PHR","2012","2010",4,0.552620933059036,0.609685610110757,4.17139346821474,3.45719175958419,0.033733123508611,0.0307098512340182,40,40,40,50,60,46.6666666666667
"35","Indica",0.15,"PHR","2012","2010",5,0.48010714393053,0.606837936882849,5.64053826674843,4.41205487278302,0.0392553904312952,0.0347183821174659,60,60,40,40,40,33.3333333333333
"36","Indica",0.15,"PHR","2012","2010",6,0.285088060674703,0.307820288394786,3.69916516221999,3.76784790583455,0.0313124987492923,0.0316018528486765,0,0,30,20,40,40
"37","Indica",0.15,"PHR","2012","2010",7,0.608325619784534,0.699063214038675,3.58874235524537,3.14619391475712,0.0311563388249733,0.0291721220117524,60,60,60,50,53.3333333333333,53.3333333333333
"38","Indica",0.15,"PHR","2012","2010",8,0.264440846471373,0.327445908392247,5.18084400588028,4.97859052798261,0.0372770440168796,0.0365421766545674,20,20,30,50,33.3333333333333,46.6666666666667
