"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.302675030581605,0.0875955177642893
"2","GBLUP","COR",0.3,0.296860734499265,0.0842702025079963
"3","GBLUP","COR",0.5,0.284266415831015,0.0716830900269478
"4","GBLUP","COR",0.75,0.264691020487432,0.0716969048523193
"5","GBLUP","COR",0.8,0.247052753084,0.0748414440695678
"6","GBLUP","NRMSE",0.15,8.4930957985199,68.1255556765005
"7","GBLUP","NRMSE",0.3,-0.95156554416978,96.0112663238107
"8","GBLUP","NRMSE",0.5,17.7565067074352,157.611705965475
"9","GBLUP","NRMSE",0.75,21.6320833931399,197.824966439647
"10","GBLUP","NRMSE",0.8,2.00531709231858,217.028651608626
"11","GBLUP","PM_10",0.15,23,12.9267041541656
"12","GBLUP","PM_10",0.3,22.2904761904762,12.0229844855319
"13","GBLUP","PM_10",0.5,21.0994708994709,9.83042642817337
"14","GBLUP","PM_10",0.75,20.2256613756614,8.7184531149099
"15","GBLUP","PM_10",0.8,19.5488471177945,8.08702761912494
"16","GBLUP","PM_20",0.15,34.2857142857143,5.95054654511951
"17","GBLUP","PM_20",0.3,33.4163898117386,5.67881505167952
"18","GBLUP","PM_20",0.5,32.7000430663221,4.97530808072278
"19","GBLUP","PM_20",0.75,31.6491094499816,4.85300844413727
"20","GBLUP","PM_20",0.8,30.7227670513211,4.97528832999488
"21","Transfer","COR",0.15,0.326250897731419,0.084711682350978
"22","Transfer","COR",0.3,0.313514646130558,0.081398484365664
"23","Transfer","COR",0.5,0.310125478992501,0.0675653587744277
"24","Transfer","COR",0.75,0.303074575600885,0.0609533649849334
"25","Transfer","COR",0.8,0.292811380446003,0.0595248403121605
"26","Transfer","NRMSE",0.15,8.15061355742013,66.5614256002657
"27","Transfer","NRMSE",0.3,-0.944550726035303,95.5518639588094
"28","Transfer","NRMSE",0.5,17.6562856935974,156.665611063059
"29","Transfer","NRMSE",0.75,21.6090619348073,195.761742900052
"30","Transfer","NRMSE",0.8,2.34651465698692,214.154603374298
"31","Transfer","PM_10",0.15,23,10.4602275861169
"32","Transfer","PM_10",0.3,22.0904761904762,9.46636506599656
"33","Transfer","PM_10",0.5,22.036507936508,7.90964053718504
"34","Transfer","PM_10",0.75,22.5571428571429,7.06971642650621
"35","Transfer","PM_10",0.8,22.6960206070732,6.47650529840932
"36","Transfer","PM_20",0.15,36.6666666666667,8.07352260551367
"37","Transfer","PM_20",0.3,36.2358803986711,7.27773165511775
"38","Transfer","PM_20",0.5,34.82185923465,6.12182170206794
"39","Transfer","PM_20",0.75,34.1032284360773,5.49459412504705
"40","Transfer","PM_20",0.8,33.4835643400153,5.12885917167617
