"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","Maize",0.15,"Y",2,1,0.3006060149467,0.0534996478953443,0.369258430335526,0.058774285297349,0.0733576973287016,0.0134786907539792,0.0696840193820634,0.0129641969198267,27.6992419085083,122.042339134371,26.7067835157758,117.308836173612,23,8.23272602348564,24,8.43274042711568,34.7619047619048,5.52143718442098,34.2857142857143,7.37711113563318,42.1875,4.94105884401309,43.4375,6.49686088729695
"2","Maize",0.15,"Y",3,1,0.316931451270646,0.112018556611805,0.325403439692748,0.090872837097921,0.0782806950292007,0.00627346581849501,0.077271327280399,0.00678158883279822,13.9783891941595,34.9233291292486,13.9396787430876,34.7372600136421,24,15.0554530541816,23,11.5950180872841,36.1904761904762,6.80876526651658,37.1428571428571,8.92283766511441,45,6.62093690919613,45.625,6.94097135373237
"3","Maize",0.15,"Y",4,1,0.290487625527469,0.0972683487857185,0.284090823165984,0.104487924657664,0.0795380400322156,0.0144378558270621,0.079785330835434,0.0137868845607234,-16.1983437071081,47.410998765882,-16.194621586603,47.6381806135429,22,15.4919333848297,22,11.3529242439509,31.9047619047619,5.52143718442098,38.5714285714286,7.92061901579343,42.5,3.66808684617896,43.125,5.85561221773133
"4","Maize",0.3,"Y",2,1,0.287262205091577,0.049310254955813,0.353805452296502,0.0580768459623853,0.0762253882885399,0.0107403905445489,0.0726406436047558,0.0102084489306297,-16.7619478787098,155.664190544195,-16.748066443926,152.296465065928,21.7380952380952,6.7701862520948,22.2380952380952,6.46877800768878,32.2646733111849,5.68131534588321,34.1196013289037,6.10799421484068,42.4014423076923,4.25475336775402,44.71875,5.17849590781466
"5","Maize",0.3,"Y",3,1,0.316931451270646,0.112018556611805,0.325403439692748,0.090872837097921,0.0782806950292007,0.00627346581849501,0.077271327280399,0.00678158883279822,13.9783891941595,34.9233291292486,13.9396787430876,34.7372600136421,24,15.0554530541816,23,11.5950180872841,36.1904761904762,6.80876526651658,37.1428571428571,8.92283766511441,45,6.62093690919613,45.625,6.94097135373237
"6","Maize",0.3,"Y",4,1,0.290487625527469,0.0972683487857185,0.284090823165984,0.104487924657664,0.0795380400322156,0.0144378558270621,0.079785330835434,0.0137868845607234,-16.1983437071081,47.410998765882,-16.194621586603,47.6381806135429,22,15.4919333848297,22,11.3529242439509,31.9047619047619,5.52143718442098,38.5714285714286,7.92061901579343,42.5,3.66808684617896,43.125,5.85561221773133
"7","Maize",0.3,"Y",3,1,0.301386501072379,0.0885133160281415,0.313853605845162,0.0768545373999069,0.0789571980316175,0.00637457835776341,0.0780157295363038,0.00670362334038797,-8.1788212580091,125.52728133743,-8.32059872407601,125.654167285097,23.1904761904762,11.1752415895708,21.2619047619048,9.06971974248293,34.4905869324474,5.46003078383443,35.1993355481728,6.80237151319446,44.3461538461538,5.40714722605741,44.1971153846154,5.66941099903586
"8","Maize",0.3,"Y",4,1,0.288235889534253,0.0742405361585036,0.290419909652396,0.076700276710443,0.0801485263388697,0.0116611668609014,0.0798771631213158,0.0111219843632845,22.4028959288186,116.530531842298,22.6008543813409,117.433246815837,20.5238095238095,11.6221081469828,21.952380952381,8.84538524857609,32.2314507198228,4.92252667774241,36.1461794019934,6.63483586664576,43.0192307692308,4.25795804480327,42.9471153846154,5.2853574806464
"9","Maize",0.5,"Y",2,1,0.274989346758056,0.0504407271443689,0.346359199254288,0.0540537804530692,0.0767943151379269,0.00911834737523247,0.0730292520778471,0.00866186316632,-23.9716082716692,134.096347244149,-23.5163144732683,131.082264999772,20.047619047619,6.86422428241884,22.2328042328042,5.85949171909234,31.9264488741233,5.04065721710803,33.4408453303802,5.28995611682738,41.7552825261159,3.97516391846321,44.8742283950617,4.31427691516007
"10","Maize",0.5,"Y",3,1,0.301386501072379,0.0885133160281415,0.313853605845162,0.0768545373999069,0.0789571980316175,0.00637457835776341,0.0780157295363038,0.00670362334038797,-8.1788212580091,125.52728133743,-8.32059872407601,125.654167285097,23.1904761904762,11.1752415895708,21.2619047619048,9.06971974248293,34.4905869324474,5.46003078383443,35.1993355481728,6.80237151319446,44.3461538461538,5.40714722605741,44.1971153846154,5.66941099903586
"11","Maize",0.5,"Y",4,1,0.288235889534253,0.0742405361585036,0.290419909652396,0.076700276710443,0.0801485263388697,0.0116611668609014,0.0798771631213158,0.0111219843632845,22.4028959288186,116.530531842298,22.6008543813409,117.433246815837,20.5238095238095,11.6221081469828,21.952380952381,8.84538524857609,32.2314507198228,4.92252667774241,36.1461794019934,6.63483586664576,43.0192307692308,4.25795804480327,42.9471153846154,5.2853574806464
"12","Maize",0.5,"Y",3,1,0.283535884696552,0.0782587126587273,0.307998897999732,0.0653074830500954,0.0796916540028132,0.00641230949442611,0.0783149910606346,0.00632439068632977,20.009818742769,131.428371033497,19.5256578009827,130.626885921323,21.5714285714286,9.81825442286343,21.8597883597884,7.98166364061212,32.901132029039,5.18787977569905,34.2532607358189,6.02485663176902,43.3912630579297,4.86124521817447,43.3844966761633,5.26439263718621
