"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Maize",0.15,"Y","2","1",1,0.343022166232318,0.444056756304223,0.0737343198975798,0.0678600295492079,337.837173370291,324.100437711704,20,20,42.8571428571429,38.0952380952381,50,46.875
"2","Maize",0.15,"Y","2","1",2,0.300504435424778,0.372381696495609,0.0712464114489985,0.067408859419319,25.967132484519,25.2581178819603,30,40,28.5714285714286,28.5714285714286,37.5,34.375
"3","Maize",0.15,"Y","2","1",3,0.319602084080441,0.405058981560759,0.0662081250420695,0.0626747019335593,4.11378570677089,4.00250754175061,10,30,28.5714285714286,42.8571428571429,50,53.125
"4","Maize",0.15,"Y","2","1",4,0.370985814082086,0.419411266748048,0.0630303750577398,0.05997177339285,72.7832734226344,70.995379338073,30,30,38.0952380952381,38.0952380952381,43.75,43.75
"5","Maize",0.15,"Y","2","1",5,0.248013852563153,0.259919412120296,0.0786660020968084,0.0786844518376189,32.1168679306284,32.120633935855,30,20,33.3333333333333,33.3333333333333,37.5,34.375
"6","Maize",0.15,"Y","2","1",6,0.249439940166705,0.2975076925672,0.0895026831567572,0.0870432229443443,15.273425035148,15.0621126635254,10,20,28.5714285714286,19.047619047619,37.5,37.5
"7","Maize",0.15,"Y","2","1",7,0.339062512926216,0.410338213922685,0.064746404432895,0.0603192460569504,10.0766614534382,9.72605659134302,30,20,42.8571428571429,38.0952380952381,43.75,46.875
"8","Maize",0.15,"Y","2","1",8,0.295947411004716,0.362357379446059,0.0594449648810278,0.0564375566171555,-39.8810995260708,-38.8591849800436,30,30,38.0952380952381,33.3333333333333,40.625,46.875
"9","Maize",0.15,"Y","2","1",9,0.339943508950846,0.397559385469207,0.0646512477036003,0.0613467851152051,-57.4195297773432,-55.9328669425409,20,10,33.3333333333333,28.5714285714286,37.5,40.625
"10","Maize",0.15,"Y","2","1",10,0.199538424035741,0.323993518721177,0.10234643956954,0.0950935669544234,-123.875271014933,-119.405358583869,20,20,33.3333333333333,42.8571428571429,43.75,50
"11","Maize",0.15,"Y","3","1",1,0.266171278550361,0.30620622647049,0.0745744864385598,0.0725533928519513,33.2806678846729,32.8265892362331,10,20,28.5714285714286,33.3333333333333,34.375,37.5
"12","Maize",0.15,"Y","3","1",2,0.477811640705564,0.48652991236776,0.0820625995525602,0.0800077469429734,60.9245968808494,60.1569832917745,40,30,42.8571428571429,42.8571428571429,56.25,56.25
"13","Maize",0.15,"Y","3","1",3,0.392898383983452,0.3396728999458,0.0805273752411871,0.0821169758297533,58.1050326718853,58.6757232316964,30,30,28.5714285714286,33.3333333333333,40.625,37.5
"14","Maize",0.15,"Y","3","1",4,0.149671026459108,0.236504734787435,0.0777976127163428,0.0741379690412044,-30.0899608210822,-29.3737117903884,10,10,38.0952380952381,47.6190476190476,40.625,53.125
"15","Maize",0.15,"Y","3","1",5,0.375098071597034,0.412124396769114,0.0701132370827099,0.0682766622742514,21.9971020732234,21.7070897510678,40,20,28.5714285714286,23.8095238095238,43.75,46.875
"16","Maize",0.15,"Y","3","1",6,0.2437863888335,0.251474049596171,0.0750721270234292,0.074889673649437,-42.6211624754889,-42.5693382776704,20,40,42.8571428571429,42.8571428571429,40.625,43.75
"17","Maize",0.15,"Y","3","1",7,0.306083630021535,0.301072484451358,0.090139244164758,0.0900385063707165,-15.2733855020148,-15.2648485029712,20,10,42.8571428571429,42.8571428571429,50,43.75
"18","Maize",0.15,"Y","3","1",8,0.460182877045906,0.403903838543015,0.0828335833076315,0.0822857892623472,10.2311495165572,10.1972631426364,50,40,42.8571428571429,47.6190476190476,53.125,53.125
