"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.211166295966353,0.0349694075279668
"2","GBLUP","COR",0.3,0.194781850131038,0.0450599822547711
"3","GBLUP","COR",0.5,0.191850833651324,0.0377399188304781
"4","GBLUP","COR",0.75,0.186176630199993,0.0353247137165358
"5","GBLUP","COR",0.8,0.180989721113711,0.0351541498093124
"6","GBLUP","NRMSE",0.15,0.0405448133937412,0.00267918896189263
"7","GBLUP","NRMSE",0.3,0.0407668801391535,0.00216414612769712
"8","GBLUP","NRMSE",0.5,0.0410058067444683,0.00182948124712797
"9","GBLUP","NRMSE",0.75,0.0411455933115324,0.00162377861823772
"10","GBLUP","NRMSE",0.8,0.0412324364588112,0.00148937180356719
"11","GBLUP","PM_10",0.15,22,6.32455532033676
"12","GBLUP","PM_10",0.3,21.1219512195122,4.65497649422055
"13","GBLUP","PM_10",0.5,21.1344409096265,3.97737400768477
"14","GBLUP","PM_10",0.75,20.6104460668353,3.75078367902816
"15","GBLUP","PM_10",0.8,20.4156295807409,3.43965030584562
"16","GBLUP","PM_20",0.15,30.7317073170732,5.16756051449454
"17","GBLUP","PM_20",0.3,30.7272994416691,4.80392103597703
"18","GBLUP","PM_20",0.5,31.3061223330934,4.22300260752554
"19","GBLUP","PM_20",0.75,31.0517071344354,3.86393089361923
"20","GBLUP","PM_20",0.8,30.7870670650144,3.5537216058107
"21","Transfer","COR",0.15,0.209654192042854,0.0358347169816508
"22","Transfer","COR",0.3,0.193343895367365,0.046023507507435
"23","Transfer","COR",0.5,0.188476004623203,0.0400972794673599
"24","Transfer","COR",0.75,0.183926846921657,0.0368542610918375
"25","Transfer","COR",0.8,0.179037104487511,0.0350397286826198
"26","Transfer","NRMSE",0.15,0.0405541186161381,0.00267164213181324
"27","Transfer","NRMSE",0.3,0.0407668181183588,0.00215556781193593
"28","Transfer","NRMSE",0.5,0.0410272816263009,0.00183026077794227
"29","Transfer","NRMSE",0.75,0.0411540388765557,0.00161908295969131
"30","Transfer","NRMSE",0.8,0.0412461111472517,0.00148177429370469
"31","Transfer","PM_10",0.15,22,9.48683298050514
"32","Transfer","PM_10",0.3,21.1219512195122,6.9630442406027
"33","Transfer","PM_10",0.5,20.6513491221869,5.9409177791227
"34","Transfer","PM_10",0.75,20.4644733801017,5.22520034455848
"35","Transfer","PM_10",0.8,20.2624877949904,4.80464800573267
"36","Transfer","PM_20",0.15,30,7.09230194717541
"37","Transfer","PM_20",0.3,30.3614457831325,5.90348285099202
"38","Transfer","PM_20",0.5,30.4825097491415,4.92781792859921
"39","Transfer","PM_20",0.75,30.4700553887792,4.37453977510182
"40","Transfer","PM_20",0.8,30.5841891074034,3.99431711891348
