"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",1,0.170749237132692,0.15591500413225,0.0902422543113736,0.0904115018447078,0.038470822414242,0.0385068811422327,20,15,26.8292682926829,21.9512195121951,32.258064516129,33.8709677419355
"2","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",2,0.171294574281089,0.169025690054489,0.0960575458680267,0.0961363012945492,0.0397005516382075,0.0397168230994839,20,15,24.390243902439,21.9512195121951,33.8709677419355,33.8709677419355
"3","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",3,0.205766175029488,0.196612634023413,0.103007393057095,0.103423060590555,0.0410926785148687,0.0411755060420468,15,15,29.2682926829268,29.2682926829268,45.1612903225806,43.5483870967742
"4","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",4,0.20421699039951,0.205210063207418,0.0939460588558575,0.0938891955302699,0.0392586456240326,0.0392467626611975,20,30,31.7073170731707,29.2682926829268,33.8709677419355,37.0967741935484
"5","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",5,0.17144392795872,0.185897388507355,0.129418577062533,0.128796253766296,0.0462801332068585,0.0461687275932684,20,20,24.390243902439,24.390243902439,40.3225806451613,41.9354838709677
"6","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",6,0.268366974259549,0.253659931132865,0.100610629562638,0.101349933862976,0.0407835097995092,0.0409330776802337,30,35,34.1463414634146,31.7073170731707,48.3870967741936,50
"7","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",7,0.207409051311654,0.217246408128722,0.106461055475169,0.105913211688721,0.0417411959071119,0.0416336582275679,20,15,31.7073170731707,34.1463414634146,37.0967741935484,37.0967741935484
"8","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",8,0.21895635155936,0.202039642755066,0.0951353917371317,0.0958562707788617,0.039537042849599,0.0396865541773639,25,20,34.1463414634146,31.7073170731707,41.9354838709677,41.9354838709677
"9","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",9,0.25792963883768,0.258159017147554,0.109202119915786,0.109369380207109,0.0423817510085774,0.0424141957619607,15,15,29.2682926829268,29.2682926829268,38.7096774193548,40.3225806451613
"10","Wheat_5",0.15,"GY","YT_18_19","YT_17_18",10,0.235530038893787,0.252776141339406,0.079354191575508,0.0787293783883174,0.0362018029744056,0.0360589997760258,35,40,41.4634146341463,46.3414634146341,40.3225806451613,40.3225806451613
"11","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",1,0.158522752911496,0.15014260880985,0.107065308307413,0.107272519234393,0.0418902742778702,0.0419307912620824,21.9512195121951,24.390243902439,28.9156626506024,27.710843373494,39.5161290322581,38.7096774193548
"12","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",2,0.236497822258256,0.255425332324359,0.0975940267833214,0.0970646389687578,0.0400566450890923,0.0399478559783581,19.5121951219512,24.390243902439,34.9397590361446,37.3493975903614,43.5483870967742,44.3548387096774
"13","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",3,0.120215470072655,0.123784323556412,0.116591122287428,0.116311188988982,0.0437872735165748,0.0437346756770804,21.9512195121951,19.5121951219512,25.3012048192771,25.3012048192771,37.9032258064516,36.2903225806452
"14","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",4,0.19241325667365,0.19265592962159,0.111448661526922,0.111465363641602,0.0427636644228752,0.0427668686644505,17.0731707317073,17.0731707317073,32.5301204819277,30.1204819277108,43.5483870967742,43.5483870967742
"15","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",5,0.228743364080448,0.226064146674347,0.0936509042344574,0.0936665371021231,0.039185223782035,0.0391884941821505,21.9512195121951,21.9512195121951,31.3253012048193,31.3253012048193,45.9677419354839,43.5483870967742
"16","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",6,0.226309657709274,0.221722425090912,0.0930092160458835,0.0931023862219048,0.0391597095503601,0.0391793183801965,21.9512195121951,21.9512195121951,36.144578313253,36.144578313253,39.5161290322581,41.9354838709677
"17","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",7,0.204052959632539,0.200555842395879,0.10636970937418,0.106558290344627,0.04181445394378,0.0418515035816349,19.5121951219512,17.0731707317073,37.3493975903614,36.144578313253,40.3225806451613,41.9354838709677
"18","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",8,0.140611652820782,0.137850902327968,0.105309424724833,0.105189803869237,0.0415845120653331,0.04156088745469,19.5121951219512,19.5121951219512,22.8915662650602,24.0963855421687,38.7096774193548,39.5161290322581
"19","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",9,0.186880068468479,0.167837020020406,0.0945434300516754,0.0953691240947261,0.0393845979527887,0.0395562065659466,17.0731707317073,14.6341463414634,30.1204819277108,32.5301204819277,40.3225806451613,38.7096774193548
"20","Wheat_5",0.3,"GY","YT_18_19","YT_17_18",10,0.0897270383296454,0.0942974560970338,0.0990122025662307,0.0981066681460101,0.0402631142449481,0.0400785744592039,21.9512195121951,21.9512195121951,27.710843373494,26.5060240963855,35.4838709677419,37.9032258064516
"21","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",1,0.188763459885712,0.195324749541677,0.0982221149624149,0.0980041849646862,0.0401736181368472,0.0401290258461508,23.1884057971014,20.2898550724638,33.3333333333333,31.1594202898551,43.9613526570048,43.9613526570048
"22","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",2,0.175397466767977,0.143752925269004,0.10288134484205,0.104051046766844,0.0411151055522866,0.041348172557617,18.8405797101449,17.3913043478261,34.0579710144928,30.4347826086957,45.8937198067633,42.9951690821256
"23","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",3,0.215206244965438,0.211935387227758,0.105516647907009,0.10583811856986,0.0416153414511833,0.041678686608581,24.6376811594203,24.6376811594203,36.231884057971,33.3333333333333,41.5458937198068,42.9951690821256
"24","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",4,0.161960848403803,0.139028789895488,0.103383488427492,0.104411937439316,0.0412811409276712,0.041485963212376,20.2898550724638,18.8405797101449,29.7101449275362,27.536231884058,43.4782608695652,41.5458937198068
"25","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",5,0.179054848148626,0.164440113066501,0.102785009432133,0.103339214293097,0.0411139509644971,0.041224642785543,18.8405797101449,14.4927536231884,29.7101449275362,28.2608695652174,38.6473429951691,41.5458937198068
"26","Wheat_5",0.5,"GY","YT_18_19","YT_17_18",6,0.178352984895592,0.187724090496222,0.106464453006867,0.106238441380978,0.0418017515873357,0.041757357890729,18.8405797101449,17.3913043478261,29.7101449275362,29.7101449275362,41.5458937198068,41.5458937198068
