"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.337118108790355,0.0744167706987518
"2","GBLUP","COR",0.3,0.330026055902147,0.0673783282056546
"3","GBLUP","COR",0.5,0.322616136625942,0.0589996792528631
"4","GBLUP","COR",0.75,0.308738348027823,0.0596781969722337
"5","GBLUP","COR",0.8,0.295180404008283,0.062682090621365
"6","GBLUP","NRMSE",0.15,0.787454615226553,5.68348755017693
"7","GBLUP","NRMSE",0.3,0.00160292595040654,8.00681967138319
"8","GBLUP","NRMSE",0.5,1.56078885020259,13.1394016522151
"9","GBLUP","NRMSE",0.75,1.88421165460721,16.4900540629529
"10","GBLUP","NRMSE",0.8,0.249273693182266,18.09026361149
"11","GBLUP","PM_10",0.15,23.9610892203772,10.797199874394
"12","GBLUP","PM_10",0.3,23.8686523229783,9.4821218008352
"13","GBLUP","PM_10",0.5,23.8790493759707,8.2355956150786
"14","GBLUP","PM_10",0.75,23.334346622458,7.49773701996995
"15","GBLUP","PM_10",0.8,22.75994092115,7.03368765165266
"16","GBLUP","PM_20",0.15,36.1558483480402,7.13175680123712
"17","GBLUP","PM_20",0.3,36.005258713155,6.41272855382406
"18","GBLUP","PM_20",0.5,35.8814597090175,5.72361253838274
"19","GBLUP","PM_20",0.75,35.2283477754069,5.36332427349287
"20","GBLUP","PM_20",0.8,34.571357056872,5.1763008226502
"21","Transfer","COR",0.15,0.3835180513026,0.0688598811245505
"22","Transfer","COR",0.3,0.376239975968357,0.0623016035009989
"23","Transfer","COR",0.5,0.369624987965295,0.0552625481591982
"24","Transfer","COR",0.75,0.359430933902993,0.0537640519506195
"25","Transfer","COR",0.8,0.349784958055605,0.0539912406786353
"26","Transfer","NRMSE",0.15,0.756768509962558,5.55297076846415
"27","Transfer","NRMSE",0.3,4.00023193666173e-05,7.96834968381146
"28","Transfer","NRMSE",0.5,1.55027499845357,13.0604111527475
"29","Transfer","NRMSE",0.75,1.88005161879292,16.317991257761
"30","Transfer","NRMSE",0.8,0.275315888287811,17.8504706920908
"31","Transfer","PM_10",0.15,27.1352772668078,11.2133849019656
"32","Transfer","PM_10",0.3,26.8466954515372,9.67655126533496
"33","Transfer","PM_10",0.5,26.7516955945307,8.39745658495461
"34","Transfer","PM_10",0.75,26.4690242968119,7.5624229848957
"35","Transfer","PM_10",0.8,26.1079959386025,7.06806770114535
"36","Transfer","PM_20",0.15,39.0580734628059,7.36180628090012
"37","Transfer","PM_20",0.3,38.84270174356,6.54991982333865
"38","Transfer","PM_20",0.5,38.5383670652935,5.85178891408155
"39","Transfer","PM_20",0.75,38.0585082586097,5.42807459891836
"40","Transfer","PM_20",0.8,37.6431246071892,5.12282673340266
