"","Dataset","Method","Metric","Testing_Proportion","Mean","SD"
"1","EYT_1","GBLUP","COR",0.15,0.447549348214504,0.0724452371107882
"2","EYT_1","GBLUP","COR",0.3,0.438511784569532,0.0673531347235428
"3","EYT_1","GBLUP","COR",0.5,0.429590312178321,0.0589526952953685
"4","EYT_1","GBLUP","COR",0.75,0.412162363385356,0.0607932884882498
"5","EYT_1","GBLUP","COR",0.8,0.392889263881443,0.0668918601775272
"6","EYT_1","GBLUP","NRMSE",0.15,0.0541655464891261,0.00373387189155838
"7","EYT_1","GBLUP","NRMSE",0.3,0.0537022007182264,0.00337330451252375
"8","EYT_1","GBLUP","NRMSE",0.5,0.053896245469216,0.00290949483645985
"9","EYT_1","GBLUP","NRMSE",0.75,0.054353113993977,0.00271358949473248
"10","EYT_1","GBLUP","NRMSE",0.8,0.0549195807151653,0.00270352903471671
"11","EYT_1","GBLUP","PM_10",0.15,24.8484848484849,9.3536805245944
"12","EYT_1","GBLUP","PM_10",0.3,25.0610070458842,8.88298252853719
"13","EYT_1","GBLUP","PM_10",0.5,24.7954975081629,7.89284748473234
"14","EYT_1","GBLUP","PM_10",0.75,24.156660878007,7.27503385590634
"15","EYT_1","GBLUP","PM_10",0.8,23.4435273176843,6.88437950573632
"16","EYT_1","GBLUP","PM_20",0.15,37.8985507246377,7.91770170657913
"17","EYT_1","GBLUP","PM_20",0.3,37.6512287334594,7.17862194454789
"18","EYT_1","GBLUP","PM_20",0.5,37.3396511126588,6.23161153708671
"19","EYT_1","GBLUP","PM_20",0.75,36.5111182966869,5.79003289706639
"20","EYT_1","GBLUP","PM_20",0.8,35.642906382368,5.60833141062419
"21","EYT_1","Transfer","COR",0.15,0.588705019602811,0.0620379941318263
"22","EYT_1","Transfer","COR",0.3,0.582040758001537,0.0570506871624656
"23","EYT_1","Transfer","COR",0.5,0.57918762753048,0.048668200185267
"24","EYT_1","Transfer","COR",0.75,0.572044557430171,0.0453359838788385
"25","EYT_1","Transfer","COR",0.8,0.564111084717178,0.0442929785566582
"26","EYT_1","Transfer","NRMSE",0.15,0.0480343897303977,0.0033164606097143
"27","EYT_1","Transfer","NRMSE",0.3,0.047696091737871,0.00302674960130331
"28","EYT_1","Transfer","NRMSE",0.5,0.0477299534732467,0.00258617436015278
"29","EYT_1","Transfer","NRMSE",0.75,0.0479627190418149,0.0023168385869729
"30","EYT_1","Transfer","NRMSE",0.8,0.0482743218532019,0.00218598474114168
"31","EYT_1","Transfer","PM_10",0.15,36.0606060606061,11.8002173123385
"32","EYT_1","Transfer","PM_10",0.3,35.7372400756144,10.8612154211688
"33","EYT_1","Transfer","PM_10",0.5,35.531968777417,9.28331008204713
"34","EYT_1","Transfer","PM_10",0.75,35.1652971361209,8.41266713074703
"35","EYT_1","Transfer","PM_10",0.8,34.6130866213706,7.79310508741595
"36","EYT_1","Transfer","PM_20",0.15,45.6884057971015,7.09521372005589
"37","EYT_1","Transfer","PM_20",0.3,45.4867674858223,6.71275252590616
"38","EYT_1","Transfer","PM_20",0.5,45.5438099028289,6.00797114407371
"39","EYT_1","Transfer","PM_20",0.75,45.3632930388353,5.50101421662763
"40","EYT_1","Transfer","PM_20",0.8,45.0130333251238,5.13479908684667
"41","EYT_2","GBLUP","COR",0.15,0.428262052038735,0.0710082873221706
"42","EYT_2","GBLUP","COR",0.3,0.42554329980073,0.0652043513381287
"43","EYT_2","GBLUP","COR",0.5,0.418310966518943,0.0570438208881139
"44","EYT_2","GBLUP","COR",0.75,0.402278009936576,0.0588267532684517
"45","EYT_2","GBLUP","COR",0.8,0.38292353607956,0.0661179925242471
"46","EYT_2","GBLUP","NRMSE",0.15,0.0489952294601849,0.00335502945551652
"47","EYT_2","GBLUP","NRMSE",0.3,0.0494826121559842,0.00320927019918786
"48","EYT_2","GBLUP","NRMSE",0.5,0.0498690101783292,0.00285179448888596
"49","EYT_2","GBLUP","NRMSE",0.75,0.0503264070008881,0.00269653087729927
"50","EYT_2","GBLUP","NRMSE",0.8,0.0508704755367701,0.00268847879780625
"51","EYT_2","GBLUP","PM_10",0.15,26.9886363636364,10.7631316204831
"52","EYT_2","GBLUP","PM_10",0.3,27.3141654978962,9.98799945997584
"53","EYT_2","GBLUP","PM_10",0.5,27.5368134731831,8.69280756812625
"54","EYT_2","GBLUP","PM_10",0.75,26.9780584703789,7.91183012517548
"55","EYT_2","GBLUP","PM_10",0.8,26.2444005332297,7.43646013634501
"56","EYT_2","GBLUP","PM_20",0.15,39.8369565217391,7.25474073097238
"57","EYT_2","GBLUP","PM_20",0.3,39.6914446002805,6.8971035075053
"58","EYT_2","GBLUP","PM_20",0.5,39.1543566298125,6.24328905340803
"59","EYT_2","GBLUP","PM_20",0.75,38.2393954363413,5.90123966465977
"60","EYT_2","GBLUP","PM_20",0.8,37.243720768371,5.73086493578936
"61","EYT_2","Transfer","COR",0.15,0.58317963336889,0.0558130529381629
"62","EYT_2","Transfer","COR",0.3,0.575797557374659,0.0519495395851875
"63","EYT_2","Transfer","COR",0.5,0.572204745421002,0.0445984548246896
"64","EYT_2","Transfer","COR",0.75,0.565598170327414,0.0418407001983755
"65","EYT_2","Transfer","COR",0.8,0.558027793331849,0.0413754746747069
"66","EYT_2","Transfer","NRMSE",0.15,0.04432963329107,0.00302115760104757
"67","EYT_2","Transfer","NRMSE",0.3,0.0450392617748507,0.00287192715668819
"68","EYT_2","Transfer","NRMSE",0.5,0.0453715900400943,0.00255588093865567
"69","EYT_2","Transfer","NRMSE",0.75,0.0456790040083198,0.00236778656630105
"70","EYT_2","Transfer","NRMSE",0.8,0.0460446629178541,0.00226930776744933
"71","EYT_2","Transfer","PM_10",0.15,33.125,10.1834770683503
"72","EYT_2","Transfer","PM_10",0.3,33.5171490501084,9.77850414366085
"73","EYT_2","Transfer","PM_10",0.5,34.2684168025572,8.86275905365058
"74","EYT_2","Transfer","PM_10",0.75,34.114211126417,7.92230892850166
"75","EYT_2","Transfer","PM_10",0.8,33.9287554223625,7.24496759169908
"76","EYT_2","Transfer","PM_20",0.15,47.5271739130435,7.61416317826032
"77","EYT_2","Transfer","PM_20",0.3,46.8863955119214,6.9760826355141
"78","EYT_2","Transfer","PM_20",0.5,46.6773070314445,6.06936777782245
"79","EYT_2","Transfer","PM_20",0.75,46.3198454187234,5.52310260178563
"80","EYT_2","Transfer","PM_20",0.8,45.8776667629603,5.14815869383904
"81","EYT_3","GBLUP","COR",0.15,0.449213583834668,0.059592612796245
"82","EYT_3","GBLUP","COR",0.3,0.443037309973586,0.0550434401121736
"83","EYT_3","GBLUP","COR",0.5,0.431404918376892,0.0500316892732929
"84","EYT_3","GBLUP","COR",0.75,0.412701549898545,0.0556256286298812
"85","EYT_3","GBLUP","COR",0.8,0.391308957537927,0.0657657963362964
"86","EYT_3","GBLUP","NRMSE",0.15,0.047648257595286,0.00272830940645954
"87","EYT_3","GBLUP","NRMSE",0.3,0.0484051988162396,0.00259306767818045
"88","EYT_3","GBLUP","NRMSE",0.5,0.0487907309794753,0.00231194992900635
"89","EYT_3","GBLUP","NRMSE",0.75,0.0492348169642279,0.00220669839966122
"90","EYT_3","GBLUP","NRMSE",0.8,0.0497489868111221,0.00222777741609301
"91","EYT_3","GBLUP","PM_10",0.15,28.75,9.5000826227236
"92","EYT_3","GBLUP","PM_10",0.3,28.7454314317496,8.7750072689786
"93","EYT_3","GBLUP","PM_10",0.5,28.4576557727281,7.69519865131277
"94","EYT_3","GBLUP","PM_10",0.75,27.6295641541748,7.0821888266573
